iter	Accuracy	Logloss
0	0.8151041667	0.6439327136
1	0.8151041667	0.6031832176
2	0.8098958333	0.5679639218
3	0.8151041667	0.5363945378
4	0.8151041667	0.5160573896
5	0.8125	0.497176283
6	0.8151041667	0.4819889426
7	0.8151041667	0.4682038547
8	0.8072916667	0.4576874586
9	0.8072916667	0.4492262252
10	0.8125	0.4383372811
11	0.8151041667	0.4299071904
12	0.8229166667	0.4227494656
13	0.8307291667	0.4134657779
14	0.8229166667	0.4067591527
15	0.8307291667	0.4018982457
16	0.8385416667	0.3965575507
17	0.8307291667	0.3916731441
18	0.8411458333	0.3841801824
19	0.8463541667	0.3800966554
20	0.8463541667	0.3755565152
21	0.84375	0.3729754982
22	0.8463541667	0.3719212778
23	0.84375	0.3665021273
24	0.84375	0.3648780671
25	0.8463541667	0.3635501475
26	0.8463541667	0.3593531773
27	0.8463541667	0.3518499516
28	0.8489583333	0.3485022008
29	0.8489583333	0.3455240421
30	0.8489583333	0.3413219395
31	0.8541666667	0.3378393367
32	0.8619791667	0.3337589532
33	0.8619791667	0.3317705631
34	0.8619791667	0.3298910795
35	0.8619791667	0.324993132
36	0.8619791667	0.3200438544
37	0.8619791667	0.3190887699
38	0.8645833333	0.3142464906
39	0.8645833333	0.3118349304
40	0.8671875	0.3096100136
41	0.8697916667	0.3032241958
42	0.8802083333	0.3005280163
43	0.8802083333	0.2981945305
44	0.8828125	0.2959364556
45	0.8802083333	0.2924222395
46	0.8802083333	0.2904646267
47	0.8802083333	0.2898087186
48	0.8880208333	0.2863287865
49	0.8880208333	0.2840428987
50	0.890625	0.2829808285
51	0.890625	0.2808772631
52	0.890625	0.2763096098
53	0.890625	0.2740314053
54	0.890625	0.2714283419
55	0.8932291667	0.2677436259
56	0.8958333333	0.2666671208
57	0.8984375	0.2654190756
58	0.9036458333	0.2619595682
59	0.90625	0.2586410228
60	0.90625	0.2582020454
61	0.90625	0.2541053294
62	0.90625	0.2534419487
63	0.9114583333	0.2509006911
64	0.9140625	0.2479280806
65	0.9114583333	0.2450408202
66	0.9166666667	0.2423915591
67	0.9166666667	0.2413413577
68	0.9192708333	0.2373275964
69	0.921875	0.2339912175
70	0.9192708333	0.2308286627
71	0.9192708333	0.2289896937
72	0.921875	0.2267284646
73	0.921875	0.2262401351
74	0.9244791667	0.2220867753
75	0.921875	0.21965318
76	0.921875	0.2187020578
77	0.921875	0.216996949
78	0.921875	0.2167103833
79	0.9244791667	0.2145398999
80	0.921875	0.2106662064
81	0.9244791667	0.2084464793
82	0.921875	0.2062482044
83	0.921875	0.2052772574
84	0.9244791667	0.2039207316
85	0.9270833333	0.2035632738
86	0.9296875	0.2025318288
87	0.9296875	0.2010314279
88	0.9296875	0.2007287345
89	0.9322916667	0.1987706016
90	0.9348958333	0.1969052825
91	0.9375	0.1956417967
92	0.9401041667	0.193668168
93	0.9401041667	0.1929616106
94	0.9401041667	0.1925119347
95	0.9401041667	0.1909279786
96	0.9427083333	0.1893700967
97	0.9453125	0.1878032415
98	0.9479166667	0.1866449574
99	0.9479166667	0.1855087762
100	0.9479166667	0.1853090436
101	0.9479166667	0.183201201
102	0.9505208333	0.1810994963
103	0.9505208333	0.178946606
104	0.953125	0.1770227946
105	0.9505208333	0.1754934599
106	0.9505208333	0.1752929272
107	0.953125	0.1726172579
108	0.9557291667	0.1712625995
109	0.9557291667	0.1710380615
110	0.9557291667	0.1708657207
111	0.9583333333	0.1679760794
112	0.9583333333	0.166552648
113	0.9609375	0.1654213736
114	0.9609375	0.1652450239
115	0.9609375	0.1629604506
116	0.9661458333	0.1616022334
117	0.9635416667	0.1605821103
118	0.9635416667	0.1597339725
119	0.9635416667	0.1595753996
120	0.9635416667	0.1576342054
121	0.9661458333	0.156701337
122	0.9713541667	0.1540785742
123	0.9713541667	0.153811949
124	0.96875	0.1513627318
125	0.96875	0.1503279904
126	0.96875	0.1495934893
127	0.96875	0.1478006203
128	0.96875	0.1467211314
129	0.96875	0.1465437567
130	0.96875	0.1458223793
131	0.96875	0.1446974199
132	0.96875	0.1435387948
133	0.96875	0.1421600254
134	0.96875	0.142002924
135	0.96875	0.140935319
136	0.96875	0.1401884222
137	0.9713541667	0.1381211777
138	0.9713541667	0.1380311127
139	0.9713541667	0.1379232449
140	0.9713541667	0.1357448182
141	0.9713541667	0.1342377956
142	0.9713541667	0.1330364788
143	0.9739583333	0.1316817948
144	0.9765625	0.1306871243
145	0.9765625	0.1295205885
146	0.9765625	0.1286576432
147	0.9817708333	0.127178696
148	0.9817708333	0.1265478913
149	0.9817708333	0.1255519548
150	0.9817708333	0.1254329985
151	0.9817708333	0.1247144267
152	0.984375	0.1243553924
153	0.9817708333	0.123533102
154	0.9869791667	0.1221224322
155	0.9895833333	0.1210468525
156	0.9895833333	0.120806626
157	0.9895833333	0.1203704429
158	0.9895833333	0.1190449845
159	0.9921875	0.1183419345
160	0.9921875	0.1170085442
161	0.9921875	0.1162793228
162	0.9921875	0.1158159517
163	0.9921875	0.1148944674
164	0.9947916667	0.1138761989
165	0.9947916667	0.1136842913
166	0.9947916667	0.1122213449
167	0.9947916667	0.1107361197
168	0.9947916667	0.1103430336
169	0.9947916667	0.1098630581
170	0.9947916667	0.1090951268
171	0.9947916667	0.1090289197
172	0.9947916667	0.1086105481
173	0.9947916667	0.1075568618
174	0.9947916667	0.1074427997
175	0.9947916667	0.105605353
176	0.9947916667	0.1049578204
177	0.9947916667	0.1045551133
178	0.9947916667	0.1039255206
179	0.9947916667	0.1033751739
180	0.9947916667	0.1019920287
181	0.9947916667	0.1006071706
182	0.9947916667	0.1002968763
183	0.9947916667	0.09942154567
184	1	0.09820866924
185	1	0.09705958704
186	1	0.09622190632
187	1	0.09523122493
188	1	0.0939933567
189	1	0.09314937513
190	1	0.09247888681
191	1	0.09210390448
192	1	0.09093807449
193	1	0.09018247981
194	1	0.08975326667
195	1	0.0891841841
196	1	0.08884766775
197	1	0.08861128444
198	1	0.08804429555
199	1	0.08716266552
200	1	0.08633969948
201	1	0.08572041774
202	1	0.08522681362
203	1	0.0842711528
204	1	0.08364012889
205	1	0.08298861528
206	1	0.08248365506
207	1	0.08230183118
208	1	0.08215108689
209	1	0.08167830609
210	1	0.08126053581
211	1	0.08004437093
212	1	0.07971580662
213	1	0.07899922794
214	1	0.078573888
215	1	0.07788803865
216	1	0.07755683355
217	1	0.07737246465
218	1	0.0773169072
219	1	0.07686156771
220	1	0.07646012695
221	1	0.07641707028
222	1	0.07626010761
223	1	0.07590418404
224	1	0.07524195707
225	1	0.07516905284
226	1	0.07467426799
227	1	0.07433844806
228	1	0.07334496116
229	1	0.07307419807
230	1	0.07295856057
231	1	0.0725313149
232	1	0.07243241433
233	1	0.07208319023
234	1	0.07198723561
235	1	0.07127287985
236	1	0.07070843138
237	1	0.07036553333
238	1	0.06997800185
239	1	0.06980653458
240	1	0.0694105693
241	1	0.06909274545
242	1	0.06853445843
243	1	0.06783387184
244	1	0.0675909092
245	1	0.06736445019
246	1	0.06680464669
247	1	0.0667687954
248	1	0.0665322065
249	1	0.0664920286
250	1	0.06588372861
251	1	0.06523244772
252	1	0.06415617565
253	1	0.06411760145
254	1	0.06404208099
255	1	0.06374273566
256	1	0.06346873199
257	1	0.0629514738
258	1	0.06260183486
259	1	0.06241210813
260	1	0.06238096413
261	1	0.0623193829
262	1	0.06214844716
263	1	0.06192321241
264	1	0.06168274683
265	1	0.06098594965
266	1	0.060235955
267	1	0.05955993257
268	1	0.05929018805
269	1	0.05925939967
270	1	0.05880049004
271	1	0.05815588164
272	1	0.05797172577
273	1	0.05752770889
274	1	0.05750239975
275	1	0.05733871802
276	1	0.0569690348
277	1	0.05657838493
278	1	0.0565496757
279	1	0.05631349323
280	1	0.05598580937
281	1	0.05578428035
282	1	0.05534923938
283	1	0.05532484396
284	1	0.05504309833
285	1	0.05477255927
286	1	0.05467583876
