iter	Passed	Remaining
0	139	41676
1	142	21225
2	147	14620
3	149	11063
4	151	8923
5	153	7497
6	155	6502
7	157	5753
8	174	5640
9	177	5143
10	179	4712
11	180	4343
12	182	4033
13	184	3763
14	185	3533
15	187	3325
16	188	3145
17	191	3003
18	193	2859
19	194	2729
20	196	2610
21	197	2501
22	198	2394
23	200	2303
24	201	2215
25	202	2137
26	204	2067
27	206	2009
28	208	1947
29	209	1888
30	211	1833
31	212	1781
32	214	1732
33	215	1686
34	216	1642
35	218	1601
36	220	1563
37	221	1529
38	223	1496
39	225	1463
40	226	1430
41	227	1400
42	229	1370
43	230	1342
44	232	1315
45	233	1290
46	235	1267
47	238	1251
48	240	1232
49	242	1211
50	243	1190
51	245	1170
52	246	1150
53	248	1132
54	250	1113
55	251	1097
56	254	1086
57	256	1069
58	257	1053
59	259	1037
60	260	1020
61	262	1005
62	263	991
63	264	976
64	266	962
65	268	953
66	271	942
67	272	929
68	273	917
69	275	904
70	276	892
71	278	880
72	279	869
73	281	858
74	282	847
75	285	840
76	287	831
77	288	821
78	290	811
79	291	801
80	292	791
81	294	782
82	295	773
83	297	764
84	298	755
85	301	750
86	303	743
87	305	735
88	306	727
89	308	719
90	309	711
91	311	703
92	312	695
93	314	688
94	316	682
95	318	676
96	319	669
97	321	662
98	322	655
99	324	648
100	325	641
101	326	634
102	328	628
103	329	621
104	332	616
105	334	611
106	336	606
107	337	600
108	339	594
109	340	588
110	342	582
111	343	576
112	345	571
113	347	567
114	350	563
115	351	558
116	353	552
117	354	547
118	356	541
119	357	536
120	359	531
121	360	525
122	363	522
123	364	517
124	367	514
125	368	509
126	370	504
127	371	499
128	373	494
129	374	489
130	376	485
131	378	481
132	380	477
133	381	473
134	383	468
135	384	464
136	386	459
137	387	455
138	389	450
139	390	446
140	392	442
141	394	439
142	397	435
143	398	432
144	400	428
145	401	424
146	403	420
147	405	416
148	406	411
149	407	407
150	410	404
151	412	401
152	413	397
153	415	393
154	416	389
155	418	385
156	419	382
157	420	378
158	422	374
159	424	371
160	426	368
161	428	364
162	429	361
163	431	357
164	432	354
165	434	350
166	435	346
167	437	343
168	438	339
169	440	336
170	442	333
171	444	330
172	445	327
173	447	323
174	448	320
175	450	317
176	451	313
177	452	310
178	454	307
179	456	304
180	458	301
181	459	298
182	461	294
183	462	291
184	464	288
185	465	285
186	467	282
187	468	279
188	470	276
189	471	273
190	474	270
191	475	267
192	477	264
193	479	261
194	480	258
195	482	255
196	483	252
197	485	249
198	486	247
199	489	244
200	490	241
201	492	238
202	493	235
203	495	233
204	497	230
205	498	227
206	499	224
207	501	221
208	502	219
209	505	216
210	507	214
211	508	211
212	510	208
213	511	205
214	513	202
215	514	200
216	516	197
217	517	194
218	519	192
219	521	189
220	523	187
221	525	184
222	526	181
223	528	179
224	529	176
225	531	173
226	532	171
227	534	168
228	536	166
229	538	163
230	540	161
231	541	158
232	543	156
233	544	153
234	546	151
235	547	148
236	550	146
237	552	143
238	554	141
239	555	138
240	557	136
241	559	133
242	560	131
243	562	129
244	563	126
245	566	124
246	568	121
247	569	119
248	571	117
249	572	114
250	574	112
251	575	109
252	577	107
253	578	104
254	580	102
255	582	100
256	584	97
257	585	95
258	587	92
259	588	90
260	590	88
261	591	85
262	592	83
263	594	81
264	596	78
265	598	76
266	599	74
267	601	71
268	603	69
269	604	67
270	605	64
271	607	62
272	608	60
273	610	57
274	612	55
275	614	53
276	616	51
277	617	48
278	619	46
279	620	44
280	621	42
281	623	39
282	624	37
283	626	35
284	628	33
285	630	30
286	631	28
287	633	26
288	634	24
289	635	21
290	637	19
291	638	17
292	640	15
293	641	13
294	643	10
295	645	8
296	647	6
297	648	4
298	650	2
299	651	0
